dialect,wer,cer,bleu,chrf,semdist
AG,21.599264705882355,9.231168157655906,64.1301117494234,87.44420558406452,0.06165332209180902
BE,22.150323544051766,10.389240731516402,63.00955419079105,86.41153489881138,0.04965950849608247
BL,17.399267399267398,6.598586017282011,68.64364380468494,91.08565997337918,0.05001997726934927
FR,19.753086419753085,7.789855072463768,58.87607560766268,87.51667516863236,0.04335397481918335
GL,6.25,1.8617021276595744,87.43064668278953,94.76199047768748,0.007959157228469849
GR,12.903225806451612,5.986696230598669,73.81983537451724,89.9948791593243,0.020718584458033245
LU,20.997920997921,9.199417758369725,64.00670567973471,87.76775895839563,0.06396366801916384
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,20.859444941808416,9.145793192035967,64.2145887262084,87.6511090787498,0.04489735924992068
SH,24.444444444444443,9.818181818181818,59.21463353768542,82.4397243393207,0.05233320593833923
SO,25.28409090909091,12.061489948758377,62.08400460334697,86.13960238530406,0.043636750843789845
SZ,10.714285714285714,4.397705544933078,78.13845082329696,92.73827287318464,0.016866889264848497
TG,19.957537154989385,7.997576491972129,64.18911666275353,87.87846575761125,0.046172653436660764
UR,24.113475177304963,10.903426791277258,65.83590537093723,85.97137699243554,0.05277885993321737
VS,21.38728323699422,8.691910499139414,59.564811799196264,84.4722872222474,0.060402112848618454
ZG,30.344827586206897,12.389791183294664,52.692547944085874,85.63844333430788,0.06428051789601644
ZH,18.088033012379643,7.8967943706020325,68.47513822100616,88.98339355453699,0.04117923850814501
OVERALL,20.803949224259522,9.128748620908695,64.96493573681077,87.68151342852781,0.049167947759495685
